"","AWS","Date","Year","Tavg","Tmax","Tmin","Prec","Vl","Rh","Tzavg","Tzmax","Tzmin"
"255","_00000A1D",2013-09-12,2013,15.44,21.23,12.02,7.6,NA,96.04,NA,NA,NA
"256","_00000A1D",2013-09-13,2013,13.86,21,9.34,4,NA,92.58,NA,NA,NA
"257","_00000A1D",2013-09-14,2013,12.69,15.37,9.53,2.4,NA,100,NA,NA,NA
"258","_00000A1D",2013-09-15,2013,15.6,24.64,7.88,0.2,NA,91.37,NA,NA,NA
"259","_00000A1D",2013-09-16,2013,18,28.9,11.72,0.2,NA,88.79,NA,NA,NA
"260","_00000A1D",2013-09-17,2013,12.82,20.46,7.93,7.6,NA,99.96,NA,NA,NA
"261","_00000A1D",2013-09-18,2013,11.78,16.93,6.56,0,NA,89.94,NA,NA,NA
"262","_00000A1D",2013-09-19,2013,12.61,17.88,7.42,2.2,NA,93.18,NA,NA,NA
"263","_00000A1D",2013-09-20,2013,12.54,20.8,6.04,0,NA,88.76,NA,NA,NA
"264","_00000A1D",2013-09-21,2013,14.76,20.65,10.7,0.2,NA,89.97,NA,NA,NA
"265","_00000A1D",2013-09-22,2013,12.87,22.69,6.66,0,NA,89.19,NA,NA,NA
"266","_00000A1D",2013-09-23,2013,14.65,20.92,6.89,0,NA,92.75,NA,NA,NA
"267","_00000A1D",2013-09-24,2013,16.41,23.06,9.27,0,NA,85.08,NA,NA,NA
"268","_00000A1D",2013-09-25,2013,14.26,23.46,6.64,0,NA,92.19,NA,NA,NA
"269","_00000A1D",2013-09-26,2013,17.71,26.51,10.95,0,NA,87.59,NA,NA,NA
"270","_00000A1D",2013-09-27,2013,11.91,15.55,8.63,0.2,NA,99.66,NA,NA,NA
